I#ID	Name
G1284	ECM2
G1285	DUSP1
G1286	DUSP2
G1287	DUSP3
G1288	DUSP4
G1289	DUSP5
G1290	DUSP6
G1291	DUSP7
G1292	DUSP8
G1293	DUSP9
G1294	DUT
G1295	DVL1
G1296	DVL2
G1297	DVL3
G1298	DYRK1A
G1299	TOR1A
G1300	E2F1
G1301	E2F2
G1302	E2F3
G1303	E2F4
G1304	E2F5
G1305	E2F6
G1306	E4F1
G1307	EBF1
G1308	GPR183
G1309	ECE1
G1310	TYMP
G1311	ECH1
G1312	ECHS1
G1313	ECM1
G1314	ECT2
G1315	EDA
G1316	S1PR1
G1317	LPAR1
G1318	S1PR3
G1319	EDN1
G1320	EDN2
G1321	EDN3
G1322	EDNRA
G1323	EDNRB
G1324	PHC1
G1325	PHC2
G1326	EEF1A1
G1327	EEF1A2
G1328	EEF1B2
G1329	EEF1D
G1330	EEF1G
G1331	EEF2
G1332	EIF2D
G1333	EFNA1
G1334	EFNA2
G1335	EFNA3
G1336	EFNA4
G1337	EFNA5
G1338	EFNB1
G1339	EFNB2
G1340	EFNB3
G1341	EGF
G1342	CELSR3
G1343	CELSR2
G1344	MEGF6
G1345	MEGF8
G1346	MEGF9
G1347	EGFR
G1348	EGR1
G1349	EGR2
G1350	EGR3
G1351	EGR4
G1352	EHHADH
G1353	EIF1AX
G1354	EIF2S1
G1355	EIF2B1
G1356	EIF2S3
G1357	EPHA2
G1358	EIF4A1
G1359	EIF4A2
G1360	EIF4B
G1361	EIF4E
G1362	EIF4EBP1
G1363	EIF4EBP2
G1364	EIF4G1
G1365	EIF4G2
G1366	EIF5
G1367	EIF5A
G1368	CELA1
G1369	ELANE
G1370	SERPINB1
G1371	ELAVL2
G1372	ELAVL1
G1373	ELAVL3
G1374	ELAVL4
G1375	ELF1
G1376	ELF2
G1377	ELF3
G1378	ELF4
G1379	ELF5
G1380	ELK1
G1381	ELK3
G1382	ELK4
G1383	ELN
G1384	EML1
G1385	EMD
G1386	MARK2
G1387	EMP1
G1388	EMP2
G1389	EMP3
G1390	EMX1
G1391	CTTN
G1392	EMX2
G1393	EN1
G1394	EN2
G1395	ENDOG
G1396	ENG
G1397	ENO1
G1398	ENO2
G1399	ENO3
G1400	ENPEP
G1401	ENSA
G1402	SLC29A1
G1403	EP300
G1404	EPAS1
G1405	EPB41
G1406	EPB41L1
G1407	EPB41L2
G1408	EPB42
G1409	DMTN
G1410	STOM
G1411	EPHA1
G1412	EPHA3
G1413	EPHA4
G1414	EPHA5
G1415	EPHA7
G1416	EPHA8
G1417	EPHB1
G1418	EPHB2
G1419	EPHB3
G1420	EPHB4
G1421	EPHB6
G1422	EPHX1
G1423	EPHX2
G1424	STX2
G1425	CLN8
G1426	EPO
G1427	EPOR
G1428	EPRS1
G1429	EPS8
G1430	EPS15
G1431	NR2F6
G1432	ERBB2
G1433	ERBB3
G1434	ERBB4
G1435	ERCC1
G1436	ERCC2
G1437	EREG
G1438	EYA4
G1439	ERCC3
G1440	ERCC4
G1441	ERCC5
G1442	ERCC6
G1443	ERF
G1444	ERG
G1445	ERH
G1446	ERN1
G1447	ERV3-1
G1448	FBL
G1449	ESD
G1450	ESR1
G1451	ESR2
G1452	ESRRA
G1453	ESRRB
G1454	ESRRG
G1455	ETF1
G1456	ETFA
G1457	ETFB
G1458	ETFDH
G1459	ETS1
G1460	ETS2
G1461	ETV1
G1462	ETV2
G1463	ETV3
G1464	ETV4
G1465	ETV5
G1466	ETV6
G1467	EVC
G1468	MECOM
G1469	EVI2A
G1470	EVI2B
G1471	EVPL
G1472	EVX1
G1473	EWSR1
G1474	EXT1
G1475	EXT2
G1476	EXTL1
G1477	EXTL2
G1478	EXTL3
G1479	EYA1
G1480	EYA2
G1481	EYA3
G1482	EZH1
G1483	EZH2
G1484	F2
G1485	F2R
G1486	F2RL1
G1487	F2RL2
G1488	F3
G1489	F5
G1490	F7
G1491	F8
G1492	F9
G1493	F10
G1494	F11
G1495	F12
G1496	F13A1
G1497	F13B
G1498	FAAH
G1499	FABP4
G1500	FABP1
G1501	FABP2
G1502	FABP3
G1503	FABP5
G1504	FABP6
G1505	FABP7
G1506	FANCA
G1507	FANCC
G1508	FANCD2
G1509	FANCE
G1510	ACSL1
G1511	ACSL3
G1512	ACSL4
G1513	FAH
G1514	PTK2B
G1515	BPTF
G1516	FANCB
G1517	FANCF
G1518	FANCG
G1519	FAP
G1520	FBLN1
G1521	FARSA
G1522	FASN
G1523	FAT1
G1524	FAT2
G1525	FAU
G1526	FBLN2
G1527	FBN1
G1528	FBN2
G1529	EFEMP1
G1530	FBP1
G1531	FCAR
G1532	FCER1A
G1533	MS4A2
G1534	FCER1G
G1535	FCER2
G1536	FCGR1A
G1537	FCGR1BP
G1538	FCGR2A
G1539	FCGR2B
G1540	FCGR3A
G1541	FCGR3B
G1542	FCGRT
G1543	FKTN
G1544	FCN1
G1545	FCN2
G1546	FDFT1
G1547	FDPS
G1548	FDX1
G1549	FDXR
G1550	FECH
G1551	FEN1
G1552	GPC4
G1553	FER
G1554	FES
G1555	FGA
G1556	FGB
G1557	FGD1
G1558	FGF1
G1559	FGF2
G1560	FGF3
G1561	FGF4
G1562	FGF5
G1563	FGF6
G1564	FGF7
G1565	FGF8
G1566	FGF9
G1567	FGF10
G1568	FGF11
